100m_ucomponent_wind,100m_vcomponent_wind
5.0666895,-0.4355191
-0.77389383,-10.638544
-1.4684331,-15.025991
0.70046556,-10.717354
6.798428,-5.7851567
-1.7480927,-6.736088
1.426505,-4.955041
2.8716693,4.847865
6.562177,-7.248361
1.1702784,-4.4241476
4.4704924,-6.4862304
4.729792,-2.5833418
-0.0048298836,7.43348
4.673322,-3.0042458
1.7534148,3.4665031
1.3442973,6.5223875
-1.1968405,10.710642
4.674859,-0.57538736
3.9768624,-2.5621233
-2.5540347,2.8070004
3.3868113,-3.063571
2.5274725,3.1027594
-0.18806833,4.8526287
-4.928837,-10.860687
4.8058534,-11.903854
5.2614527,-4.0954785
3.2454448,10.9016075
4.7163467,-1.66662
3.8055325,-2.1269295
2.199026,11.677595
-1.6489825,9.088083
-2.3250828,12.479565
5.77429,11.927885
1.9404949,3.5509439
6.270609,-8.994766
7.3589,-11.596836
7.381181,-6.861233
-0.865321,1.2818732
3.9622645,-0.47016138
1.0834609,3.8419394
9.9857025,12.065157
4.4958463,-12.898521
-2.5386689,-12.328655
-2.1756492,-10.751997
6.3266945,-7.829486
-4.528555,-4.643693
3.3626099,-1.0828971
2.9146934,1.8218601
-0.20535499,1.5849934
2.2739353,-0.7252153
4.163174,-0.5649947
3.3545427,-0.38788593
0.7619293,-15.32305
-2.2993448,-8.717628
0.63631284,-9.126841
2.7199306,-5.6405253
8.520947,-10.500841
0.32899463,-4.0681977
2.575491,5.8615856
3.0706577,-3.2900448
4.0260334,0.1980021
0.9893447,5.899259
11.493867,11.039743
4.2976255,3.554841
0.46114147,10.831457
6.283286,10.08708
1.6066703,2.801371
1.7856833,4.8184195
5.2322574,7.5967317
7.304351,-8.190632
1.9735316,-8.142132
4.971037,7.8496203
2.1137457,5.9624815
2.7487416,6.957148
3.8278131,4.7153583
1.0039424,7.7465596
6.0746937,-1.0616786
6.673964,-4.7086473
6.6332445,-6.808404
6.0412726,-5.969627
5.4093494,-3.9924176
5.4992404,-2.3547027
0.7450267,2.3700745
2.8394008,4.6439085
3.243524,-6.854305
1.1572174,-7.45838
4.4163275,-6.469775
9.505134,-5.507152
3.555068,-0.6134939
2.9354377,-0.19951838
2.9523401,-0.47925496
4.4121017,6.810352
0.118481636,9.544928
-3.323483,10.639626
-2.6247182,-0.916181
-0.85725385,4.997693
5.069379,-1.110178
7.139551,-0.47492468
2.5578203,3.0772104
2.2647157,1.6274302
1.928202,-1.7982607
5.3459654,-4.7567134
4.689841,-4.6995535
1.3442973,-3.3575974
8.283159,-4.3860407
2.7030282,0.663075
6.392768,-3.6122184
4.6763954,-2.3070695
4.0498505,-2.1243315
3.5473852,-0.7174208
-6.2860312,3.69904
-6.3121533,6.349176
0.87832606,8.406929
2.8409371,0.6726016
-4.3134317,4.7153583
-2.4537723,-0.59617275
1.1103514,5.2592425
7.59976,-7.021887
8.9074,1.732656
1.3081874,2.7870812
2.4229846,2.1717472
4.0579176,7.3512044
0.78344154,6.8514895
3.5201106,0.76526976
8.383422,7.6751103
5.136605,-9.709263
3.2047253,2.7299213
0.54104424,8.356697
-0.33980674,-2.4885087
1.6881098,2.1851711
2.3580637,6.8610163
1.6074387,0.75531006
3.5792694,-4.716875
6.4027557,-7.425037
-0.99055314,-2.9700365
2.1629162,0.051205277
-4.1470957,5.9897623
1.3934683,7.7946258
3.63305,4.1944246
6.595598,9.086784
4.0752044,5.599603
0.9213506,-0.3632033
2.1540809,0.080218196
1.0796195,2.40948
2.5163326,4.8062944
-7.9966416,2.4757335
-1.0804437,3.7094326
7.4303513,9.078989
6.1035047,-2.9535813
6.8790994,-5.304062
7.550974,-5.470345
5.718589,-0.27313328
4.4301567,1.0883093
4.0006795,-1.5289168
0.7085327,1.203928
0.26829922,4.8045626
6.5464272,5.2627068
0.63746536,6.82724
1.678506,1.7200983
1.2789923,0.7934166
-1.9601424,4.391453
-1.9067457,5.7871046
3.5715861,4.9877334
0.78958786,0.7856221
1.6089753,4.072744
3.4498115,-1.7328733
3.2761765,-0.35454267
5.540344,-2.9548807
1.2052358,0.85317457
-0.64097863,1.6404209
0.8721796,4.4888844
-2.3362231,2.5978477
6.127706,0.7258642
5.8038692,0.13607895
7.9915915,-6.302193
6.1607428,-4.2141285
6.207225,-3.4242837
3.9038744,0.107499
-1.4396219,-4.964567
4.7182674,-3.0609727
0.72774005,0.7899524
0.6570569,2.3146467
3.1532493,0.48293495
3.4624882,-2.7041569
2.890108,-2.0966175
0.8237771,2.425502
2.0438304,4.950493
4.825829,0.055535555
0.30709815,2.1730464
-3.6054473,3.6674285
4.764365,-8.013523
2.3945575,0.19973421
-1.1380659,0.35908878
2.5240154,-6.0328493
2.1640687,-1.1097449
-1.8660262,-5.091878
7.4364977,-6.664638
0.16150618,0.57906735
-2.2056127,2.0955343
-0.5764418,2.5796604
-1.2686762,2.5848567
1.421127,1.0796487
6.5060916,-2.4729195
4.3222113,-3.203439
2.5486007,-0.28352594
0.35665333,2.5523796
2.042294,6.004485
3.6637816,9.631102
4.6272244,-2.6647513
2.9511876,-0.072640896
2.1237335,0.7228329
0.39929366,1.1199203
0.9236554,0.9060042
-0.42931318,-7.1972637
5.3471174,-4.8333597
2.6634612,-2.0273328
-0.08396423,3.0936656
-0.27488577,6.6232834
3.430604,8.533373
4.4316936,-1.95545
2.1994104,0.5327333
-0.48693538,2.0552626
0.96667993,0.3525933
0.73196566,-0.90059197
1.0899915,4.9115205
8.9281435,-5.7327604
3.1405725,-1.1634405
4.2734246,-4.731598
0.9593812,1.5503509
-0.8380465,3.3158092
0.7354231,-0.3246637
-0.25145274,2.1890683
3.5185738,-1.2665013
3.4375186,-2.6400685
3.547769,-3.4229846
4.1720095,-3.4108598
4.1366677,-2.2278252
3.1686153,0.10793209
1.2766873,0.42014587
-0.667869,-1.5808802
2.5028872,-0.15145218
3.8984962,-1.593438
0.84759426,0.8310901
0.48457456,0.7323595
1.6400913,-2.2260933
5.6790214,-7.4406257
4.226558,-4.0478454
-0.59949064,-1.2725637
4.129753,-4.955041
-0.15733653,-1.3210629
5.5180635,9.508554
-3.2958245,-1.8770719
3.6345868,-2.8357978
4.9026585,-4.565315
6.859892,-6.6122417
6.1634316,-5.5872626
6.6159577,-3.8295987
1.7441953,-0.6290829
0.5226052,1.5356281
0.3232324,5.331558
-3.2727757,4.302249
1.8313967,-5.1520686
4.85464,-5.4919963
-2.5670958,2.4991171
-2.0619414,5.014581
3.4824638,-3.3870432
4.5177426,-0.45630443
2.6861258,3.6154652
2.941968,-1.2539434
-0.6997533,3.9510627
2.07341,0.6981503
1.623957,4.0558558
-0.61946636,2.4003866
1.9255129,6.3063064
5.8845406,6.4041705
6.317859,-10.447145
1.5913044,1.0943716
-2.3392963,-0.9975904
-1.6466777,1.5239363
-3.744125,-6.8322206
-0.7608328,3.7960382
3.6107693,5.8533583
4.7751217,-3.625209
0.90521634,0.8886831
-0.18307441,2.8074336
1.0573388,-0.43118876
-0.9075772,1.8287885
0.56985533,8.875032
3.8005385,-2.5162225
0.6405386,0.33397305
-0.8649368,2.5121078
-0.1465804,4.2866597
0.15382326,1.2424674
0.31324458,1.0670907
1.2701567,0.23610854
-2.7537918,2.6991763
1.4768285,-0.8689809
3.1928167,-2.3962736
3.2892375,-0.3904841
0.17648792,2.4012525
-0.019427419,1.5611768
0.17495131,2.0379415
2.5739546,-2.283686
-1.4304024,-2.8912253
-2.8079567,3.3331304
2.148703,9.980555
-1.7423306,13.054626
4.2899427,10.136013
5.2691355,11.099936
4.9598966,5.5437427
2.8977914,0.7037797
-1.626702,11.329441
2.4898262,4.4442825
-3.1494641,3.4361916
-7.6478353,4.8812084
-7.1780224,9.325815
5.174251,7.5885043
-3.3035073,6.4253893
-4.3069015,12.541489
-6.1365976,10.381107
6.3078713,6.060779
-4.334176,7.2992415
-0.39051425,1.023788
1.813342,5.386553
0.18340266,7.0615087
-0.06667769,7.503198
-5.3855886,7.6118884
-13.680492,5.863318
5.186544,-4.3856077
0.1088779,2.4783316
3.3042192,11.530798
4.802012,6.2015133
6.365494,-1.3596026
1.4053768,0.12871742
-1.1457489,8.986753
5.84651,1.86906
4.9779515,-8.15902
-2.198698,1.3741083
-1.4711221,2.2063897
2.1425567,1.37151
-0.5199721,0.21315801
1.4003829,6.3201632
4.9464517,-2.2797887
0.6693497,-9.287926
4.243845,-0.34631515
3.8735266,2.8624282
9.185907,-7.693082
-0.76390594,5.9183125
2.3446183,5.715222
-0.8176867,5.85076
-0.95982134,4.9271097
-5.3310394,5.0041885
0.016298294,4.996827
2.426826,12.573532
4.8761525,11.2003975
7.968542,3.5072079
9.266193,-8.245626
1.4230477,1.4403617
2.7879248,-1.9324996
0.7304292,-1.9597805
-1.6044214,-5.5859637
0.7415694,-10.528555
-0.47733164,-9.728317
3.498598,-6.3372684
4.129369,-2.3456092
