,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,19
0.5,0,223.173778808594,561.789451644897,1178.31125982666,1481.86331082153,1817.58671289062,1752.17638098145,1515.04533862305,1243.41659790039,950.67477746582,690.880261657715,489.270558898926,307.882058410644,161.569160583496,59.3899956817627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2631.75701171875,4491.58691436332,7081.69516064453,8861.07660707092,9017.86988037109,8728.72805664063,7721.58050048828,6572.79473535156,5363.13046533203,4301.4871796875,3481.79410131836,2747.10420727539,2156.22712927246,1936.77984825897,1333.25650219727,1195.85122401047,793.440315734863,707.25604328537,433.364976989746,374.033916881561,179.230704864502,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,17460.9717519531,21518.6370081961,24782.2169072266,22186.7018125,19557.295375,16458.4417802734,13229.7195302734,10582.5288144531,8618.232109375,6895.98771337891,5520.56459057617,4785.66872732544,3644.07907128906,3213.1816189743,2419.29727685547,2168.24773790741,1604.63523474121,1537.18764949849,1030.63905603027,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,42329.3338554776,46773.0428476563,46083.6966484375,33718.3010078125,29549.6222617187,25349.5349013672,20687.4485693359,16605.9300595703,13072.9298974609,10436.8807890625,9360.62931097412,6950.44389355469,6088.38257945469,5134.95657524618,4817.19689755249,4842.19559694214,5264.92333215982,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,62321.6063828125,61843.798984375,55001.8899296875,45526.2805117188,38628.3341113281,33358.218203125,27005.9619707031,21977.5085283203,17531.0870400391,14742.575451416,11366.8450292969,9633.97056652374,7745.52236523437,8402.79833423674,9377.27721086361,9921.92154576264,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,66663.0881992188,52808.9949472656,47272.8493515625,44417.1594824219,39261.5590234375,32061.2782773438,24774.1746748047,21481.7090831299,17482.7884462891,14750.4422005615,11587.8506450195,13412.8972250139,14551.1823417511,14563.6068448074,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,76891.2000390625,61229.347890625,60338.3938046875,47085.969953125,45186.5825546875,44321.0594863281,31382.1148164062,29116.7528951172,23780.9315283203,20221.0546193359,16673.9855546875,17112.1035120379,18488.1646637135,18557.6572967961,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,62945.5813169158,50432.1933374721,46140.238987793,44474.8277666016,37346.0313068359,32732.8652192383,27874.5008313802,26084.4822695312,21696.0891717084,23149.153204834,23063.4510479073,21876.4182559814,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,59084.3091953125,66687.3020664062,54708.6632265625,54210.8325742187,38704.3906304525,41871.2230878906,29624.2160390625,26603.67278125,25084.4334224211,24774.0898249687,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,61582.8396649917,54128.3799748884,48820.5234416016,45784.3672436523,41597.1496433919,35558.4197199707,32257.7449835379,29559.0412016021,28610.2836348541,0,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0,61710.5646015625,56494.690984375,49611.9381484375,50550.6547246094,42389.1529539388,44438.793765625,30822.485967579,32546.4667670013,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54840.3086416016,53543.3364589844,46174.6996254883,41972.9129189453,36151.8709338379,36344.3842309434,0,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60780.6939882812,53091.1472470703,57357.9960625,41958.0549841797,39973.44671875,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53361.7335236253,53633.9614023438,46794.4995625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60125.1503476562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
